From	To
Q8DR63	spr:spr0323
Q8CWP5	spr:spr1636
Q8DN41	spr:spr1937
Q8DNR0	spr:spr1588
Q8DNX8	spr:spr1472
Q8DNP0	spr:spr1617
P66855	spr:spr1395
Q8DRL7	spr:spr0056
P63788	spr:spr0656
Q8CZ30	spr:spr0518
Q8DN24	spr:spr1964
Q8DNS0	spr:spr1577
Q8CZC6	spr:spr0055
Q8DRK6	spr:spr0068
Q8DNH1	spr:spr1727
Q8DRN4	spr:spr0036
P0A474	spr:spr0199
Q8DRL2	spr:spr0061
Q8DNW8	spr:spr1492
Q8CZA4	spr:spr0117
Q8DQT7	spr:spr0508
Q8DNW5	spr:spr1498
Q8DR27	spr:spr0367
Q8CWV2	spr:spr0205
Q8DNY3	spr:spr1463
Q8DRB4	spr:spr0237
P0A4Q0	spr:spr0755
Q8DQZ4	spr:spr0420
Q8DQ93	spr:spr0783
Q8DRH8	spr:spr0124
Q8DRH6	spr:spr0126
Q8DQ96	spr:spr0779
Q7ZAK3	spr:spr1758
P67383	spr:spr0217
Q8DMZ5	spr:spr2005
P0A2W9	spr:spr1540
Q8DR96	spr:spr0262
Q8CWW1	spr:spr0065
Q8DN84	spr:spr1866
Q8CWN0	spr:spr2012
Q8DQX3	spr:spr0447
Q8CYC4	spr:spr1680
Q8DQY1	spr:spr0434
Q8DQW6	spr:spr0460
Q8DRH2	spr:spr0131
Q8CYD4	spr:spr1640
Q8DQY5	spr:spr0430
Q8CZ74	spr:spr0297
Q8DR92	spr:spr0267
P67000	spr:spr1635
Q8DQX7	spr:spr0443
Q8DRQ4	spr:spr0001
Q8DQH9	spr:spr0661
Q8DNC9	spr:spr1804
Q8DP45	spr:spr1358
Q8DNC7	spr:spr1808
P59653	spr:spr0043
Q8DN64	spr:spr1895
Q8DQQ7	spr:spr0546
Q8CYZ8	spr:spr0669
P0A4D8	spr:spr1440
Q8DRK2	spr:spr0075
Q8DNU8	spr:spr1527
Q8CYK7	spr:spr1326
Q8CWT6	spr:spr0320
Q8CY90	spr:spr1831
Q8DRL6	spr:spr0057
Q8DQW5	spr:spr0462
Q8CYI8	spr:spr1403
Q8DR31	spr:spr0359
Q8CZ75	spr:spr0289
Q8CWT8	spr:spr0318
Q8CWS4	spr:spr0687
Q8DN27	spr:spr1960
Q8DPS4	spr:spr1031
Q8DR83	spr:spr0284
Q8DP72	spr:spr1321
Q8DNX2	spr:spr1486
Q8DQY8	spr:spr0427
Q8CYL6	spr:spr1297
Q8CYF3	spr:spr1549
Q8DRG1	spr:spr0147
P0A4S4	spr:spr2044
Q8DPS3	spr:spr1032
