From,To
A0A0H2ZZD6,mav:MAV_2885
A0A0H3A3G6,mav:MAV_2878
A0A0H2ZW81,mav:MAV_2870
A0A0H2ZUF3,mav:MAV_2867
A0A0H2ZWP3,mav:MAV_2866
A0A0H2ZT24,mav:MAV_2862
A0A0H2ZVM2,mav:MAV_2835
A0A0H2ZZB4,mav:MAV_2834
A0A0H3A0L0,mav:MAV_2833
A0A0H3A3C4,mav:MAV_2831
A0A0H2ZZW8,mav:MAV_2816
A0A0H2ZUV1,mav:MAV_2810
A0A0H2ZYQ0,mav:MAV_2808
A0A0H2ZWT2,mav:MAV_2807
A0A0H3A655,mav:MAV_0154
A0A0H3A406,mav:MAV_0155
A0A0H2ZTW8,mav:MAV_2801
A0A0H3A3B8,mav:MAV_2797
A0A0H2ZWG1,mav:MAV_2743
A0A0H3A2S8,mav:MAV_2734
A0A0H2ZZ95,mav:MAV_2729
A0A0H3A112,mav:MAV_2727
A0A0H2ZZN0,mav:MAV_2708
A0A0H3A092,mav:MAV_2497
A0A0H2ZV99,mav:MAV_2489
A0A0H2ZS59,mav:MAV_2478
A0A0H2ZZQ0,mav:MAV_2470
A0A0H3A2D4,mav:MAV_5309
A0A0H2ZQG6,mav:MAV_0016
A0A0H3A1S7,mav:MAV_0020
A0A0H3A212,mav:MAV_0124
A0A0H3A3D8,mav:MAV_0133
A0A0H2ZUA2,mav:MAV_0159
A0A0H2ZTR9,mav:MAV_0208
A0A0H2ZY65,mav:MAV_0231
A0A0H2ZXS1,mav:MAV_0432
A0A0H2ZRP9,mav:MAV_0435
A0A0H2ZYE5,mav:MAV_0453
A0A0H2ZQP9,mav:MAV_0469
A0A0H3A0T7,mav:MAV_0538
A0A0H2ZVC1,mav:MAV_0565
A0A0H2ZQM4,mav:MAV_0593
A0A0H3A003,mav:MAV_0631
A0A0H2ZZR8,mav:MAV_0653
A0A0H2ZUV3,mav:MAV_0678
A0A0H2ZV95,mav:MAV_0748
A0A0H3A026,mav:MAV_0861
A0A0H2ZUN6,mav:MAV_0862
A0A0H3A069,mav:MAV_0876
A0A0H3A271,mav:MAV_0902
A0A0H2ZZR3,mav:MAV_0924
A0A0H2ZSL5,mav:MAV_1438
A0A0H2ZWT3,mav:MAV_1447
A0QCX6,mav:MAV_1525
A0A0H2ZTF3,mav:MAV_1531
A0A0H3A309,mav:MAV_0942
A0A0H2ZYN5,mav:MAV_1008
A0A0H3A3F5,mav:MAV_1636
A0A0H3A2Y9,mav:MAV_1655
A0A0H2ZUR4,mav:MAV_1678
A0A0H2ZVK6,mav:MAV_1703
A0A0H2ZUD6,mav:MAV_1044
A0A0H2ZQM0,mav:MAV_1052
A0A0H3A2U1,mav:MAV_1118
A0A0H2ZSS7,mav:MAV_1156
A0QBX4,mav:MAV_1164
A0A0H3A2N9,mav:MAV_1169
A0QIB9,mav:MAV_3475
A0A0H2ZRE6,mav:MAV_3398
A0A0H3A4W6,mav:MAV_3367
A0QHY4,mav:MAV_3340
A0A0H2ZWX8,mav:MAV_3308
A0A0H2ZY34,mav:MAV_3304
A0A0H2ZZ99,mav:MAV_3226
A0A0H2ZXM5,mav:MAV_3179
A0QHH0,mav:MAV_3175
A0A0H2ZWV0,mav:MAV_3057
A0A0H2ZR58,mav:MAV_2950
A0A0H2ZRD2,mav:MAV_2937
A0A0H2ZSV6,mav:MAV_2920
A0A0H2ZZT9,mav:MAV_2783
A0A0H2ZYC0,mav:MAV_2442
A0QFC0,mav:MAV_2409
A0QFB6,mav:MAV_2405
A0A0H2ZS03,mav:MAV_2350
A0A0H3A0J2,mav:MAV_2276
A0A0H3A1Z2,mav:MAV_2195
A0A0H2ZV42,mav:MAV_2194
A0A0H3A599,mav:MAV_2170
A0A0H2ZSJ7,mav:MAV_5296
A0A0H2ZUM0,mav:MAV_1796
A0A0H2ZTX5,mav:MAV_1405
A0A0H2ZYU1,mav:MAV_1382
A0A0H2ZXS5,mav:MAV_1285
A0A0H3A1M3,mav:MAV_1276
A0A0H3A0T9,mav:MAV_3489
A0A0H2ZX08,mav:MAV_3537
A0A0H2ZVA8,mav:MAV_3584
A0A0H3A1K4,mav:MAV_3606
A0QIT4,mav:MAV_3645
A0QIW6,mav:MAV_3677
A0A0H2ZSP3,mav:MAV_3763
A0A0H2ZS15,mav:MAV_3774
A0A0H2ZYN3,mav:MAV_3844
A0QJC6,mav:MAV_3850
A0A0H3A264,mav:MAV_3851
A0A0H2ZZ11,mav:MAV_3869
A0A0H3A3H5,mav:MAV_3876
A0A0H3A050,mav:MAV_3944
A0A0H2ZWQ4,mav:MAV_4009
A0A0H3A0Z4,mav:MAV_4121
A0A0H2ZY42,mav:MAV_4157
A0A0H2ZYN7,mav:MAV_4164
A0QKC7,mav:MAV_4224
A0A0H2ZSD9,mav:MAV_4243
A0A0H2ZZY7,mav:MAV_4253
A0A0H3A2C8,mav:MAV_4258
A0A0H2ZSD8,mav:MAV_4274
A0A0H3A669,mav:MAV_5207
A0A0H2ZZ55,mav:MAV_5162
A0A0H2ZWP9,mav:MAV_5161
A0A0H2ZY71,mav:MAV_5153
A0A0H3A3B6,mav:MAV_5134
A0A0H3A4M9,mav:MAV_4987
A0A0H2ZRE0,mav:MAV_4914
A0A0H3A0Q4,mav:MAV_4858
A0A0H3A080,mav:MAV_4844
A0A0H3A2R4,mav:MAV_4820
A0A0H3A4E9,mav:MAV_4806
A0A0H2ZXK2,mav:MAV_4749
